ID   MARCA     PREÇO    PROCESSADOR     RAM       ARMAZENAMENTO
65   TOSHIBA   399€   AMD_RYZEN_3     16GB      1500GB              
66   MSI       999€   AMD_RYZEN_7     16GB      500GB               
67   ASUS      949€   AMD_RYZEN_5     4GB       950GB               
68   SAMSUNG   699€   INTEL_CORE_I7   4GB       750GB               
69   SAMSUNG   1499€  INTEL_CORE_I9   16GB      650GB               
70   HP        499€   AMD_RYZEN_7     16GB      500GB               
71   LENOVO    849€   AMD_RYZEN_5     4GB       250GB               
72   TOSHIBA   649€   AMD_RYZEN_7     8GB       950GB               
73   ASUS      349€   AMD_RYZEN_7     8GB       1000GB              
74   INSYS     299€   AMD_RYZEN_7     12GB      300GB               
75   MSI       649€   PENTIUM_G5400   12GB      500GB               
76   LENOVO    299€   AMD_RYZEN_3     12GB      800GB               
77   INSYS     1399€  AMD_RYZEN_7     16GB      650GB               
78   ACER      749€   INTEL_CORE_I5   4GB       900GB               
79   INSYS     1399€  INTEL_CORE_I7   16GB      650GB               
80   INSYS     1199€  INTEL_CORE_I7   12GB      550GB               
81   DELL      1199€  AMD_RYZEN_5     12GB      650GB               
82   SAMSUNG   549€   INTEL_CORE_I9   16GB      1500GB              
83   HP        799€   AMD_RYZEN_7     8GB       250GB               
84   MICROSOFT 299€   INTEL_CORE_I9   12GB      300GB               
85   TOSHIBA   399€   AMD_RYZEN_5     4GB       500GB               
86   HP        999€   AMD_RYZEN_5     12GB      950GB               
87   ACER      1499€  AMD_RYZEN_5     16GB      450GB               
88   MSI       949€   AMD_RYZEN_7     8GB       1000GB              
89   HP        1199€  AMD_RYZEN_5     8GB       400GB               
90   SAMSUNG   699€   INTEL_CORE_I7   12GB      1000GB              
91   TOSHIBA   1099€  INTEL_CORE_I7   12GB      550GB               
92   SAMSUNG   1399€  INTEL_CORE_I3   4GB       550GB               
93   HP        1299€  INTEL_CORE_I7   16GB      250GB               
94   ASUS      399€   INTEL_CORE_I5   12GB      900GB               
95   LENOVO    1499€  PENTIUM_G5400   8GB       1000GB              
96   ASUS      849€   INTEL_CORE_I7   16GB      1500GB              
97   MICROSOFT 799€   INTEL_CORE_I9   8GB       650GB               
98   TOSHIBA   349€   INTEL_CORE_I9   16GB      700GB               
99   ASUS      549€   INTEL_CORE_I5   16GB      1000GB              
100  LG        1399€  AMD_RYZEN_7     8GB       600GB               
101  HP        1099€  INTEL_CORE_I7   4GB       950GB               
102  SAMSUNG   549€   AMD_RYZEN_7     4GB       800GB               
103  ASUS      399€   INTEL_CORE_I9   16GB      250GB               
104  HP        399€   AMD_RYZEN_5     12GB      600GB               
105  MICROSOFT 649€   AMD_RYZEN_5     4GB       450GB               
106  ACER      999€   AMD_RYZEN_3     8GB       500GB               
107  LENOVO    1099€  INTEL_CORE_I5   8GB       400GB               
108  SAMSUNG   999€   PENTIUM_G5400   12GB      900GB               
109  HP        299€   AMD_RYZEN_3     4GB       500GB               
110  MSI       1099€  INTEL_CORE_I3   12GB      550GB               
111  LG        799€   INTEL_CORE_I7   8GB       750GB               
112  LENOVO    899€   AMD_RYZEN_3     16GB      950GB               
113  LG        1299€  INTEL_CORE_I9   12GB      500GB               
114  HP        449€   INTEL_CORE_I7   16GB      300GB               
115  LG        749€   AMD_RYZEN_5     12GB      250GB               
116  HP        599€   AMD_RYZEN_3     16GB      900GB               
117  SAMSUNG   1499€  AMD_RYZEN_3     12GB      450GB               
118  DELL      499€   INTEL_CORE_I3   4GB       750GB               
119  MSI       1399€  INTEL_CORE_I3   12GB      450GB               
120  LG        799€   INTEL_CORE_I3   4GB       850GB               
121  ASUS      699€   AMD_RYZEN_3     4GB       350GB               
122  LENOVO    299€   INTEL_CORE_I5   4GB       900GB               
123  TOSHIBA   1199€  INTEL_CORE_I9   16GB      250GB               
124  LG        449€   INTEL_CORE_I3   8GB       900GB               
125  TOSHIBA   399€   INTEL_CORE_I3   12GB      550GB               
126  MICROSOFT 799€   PENTIUM_G5400   4GB       1000GB              
127  MSI       1399€  INTEL_CORE_I7   8GB       900GB               
128  ACER      349€   AMD_RYZEN_3     4GB       700GB               
129  MSI       799€   INTEL_CORE_I7   4GB       1500GB              
130  MSI       499€   AMD_RYZEN_5     4GB       1500GB              
131  TOSHIBA   349€   AMD_RYZEN_3     8GB       850GB               
132  MSI       1499€  PENTIUM_G5400   12GB      800GB               
133  DELL      949€   INTEL_CORE_I5   12GB      700GB               
134  HP        1099€  AMD_RYZEN_5     8GB       700GB               
135  HP        1099€  INTEL_CORE_I5   4GB       1500GB              
136  DELL      1499€  AMD_RYZEN_3     12GB      550GB               
137  MSI       999€   AMD_RYZEN_5     12GB      850GB               
138  MICROSOFT 599€   AMD_RYZEN_5     8GB       250GB               
139  DELL      299€   AMD_RYZEN_7     8GB       550GB               
140  SAMSUNG   699€   PENTIUM_G5400   12GB      650GB               
141  LG        449€   INTEL_CORE_I9   12GB      750GB               
142  DELL      899€   AMD_RYZEN_5     8GB       250GB               
143  LG        649€   AMD_RYZEN_3     4GB       750GB               
144  MSI       299€   INTEL_CORE_I3   16GB      800GB               
145  ASUS      999€   AMD_RYZEN_5     4GB       400GB               
146  TOSHIBA   849€   AMD_RYZEN_3     12GB      250GB               
147  TOSHIBA   1099€  INTEL_CORE_I7   4GB       350GB               
148  LG        799€   PENTIUM_G5400   4GB       350GB               
149  INSYS     649€   AMD_RYZEN_3     8GB       500GB               
150  ASUS      799€   AMD_RYZEN_3     4GB       500GB               
151  INSYS     299€   INTEL_CORE_I5   12GB      500GB               
152  ACER      1099€  AMD_RYZEN_5     12GB      900GB               
153  HP        599€   AMD_RYZEN_7     12GB      350GB               
154  DELL      899€   INTEL_CORE_I9   4GB       900GB               
155  ACER      1199€  AMD_RYZEN_7     4GB       1000GB              
156  ASUS      399€   INTEL_CORE_I7   16GB      900GB               
157  HP        1299€  AMD_RYZEN_5     16GB      650GB               
158  MSI       1499€  PENTIUM_G5400   16GB      1500GB              
159  TOSHIBA   1399€  INTEL_CORE_I7   12GB      800GB               
160  MICROSOFT 399€   INTEL_CORE_I5   4GB       750GB               
161  LG        1099€  AMD_RYZEN_7     4GB       900GB               
162  ACER      399€   INTEL_CORE_I3   8GB       950GB               
163  ACER      949€   AMD_RYZEN_3     8GB       600GB               
164  ASUS      999€   AMD_RYZEN_3     8GB       1000GB              
165  MSI       349€   PENTIUM_G5400   16GB      850GB               
166  MICROSOFT 449€   INTEL_CORE_I9   12GB      550GB               
167  INSYS     1299€  AMD_RYZEN_3     4GB       2000GB              
168  SAMSUNG   1099€  INTEL_CORE_I9   12GB      500GB               
169  SAMSUNG   1299€  PENTIUM_G5400   4GB       350GB               
170  HP        899€   INTEL_CORE_I7   16GB      750GB               
171  DELL      599€   AMD_RYZEN_7     8GB       350GB               
172  HP        1499€  AMD_RYZEN_5     12GB      450GB               
173  MICROSOFT 649€   INTEL_CORE_I7   16GB      1500GB              
174  MSI       999€   INTEL_CORE_I3   12GB      350GB               
175  INSYS     299€   INTEL_CORE_I9   16GB      600GB               
176  DELL      499€   INTEL_CORE_I7   12GB      650GB               
177  LG        1499€  PENTIUM_G5400   8GB       900GB               
178  LG        949€   INTEL_CORE_I9   8GB       850GB               
179  INSYS     1299€  AMD_RYZEN_7     4GB       600GB               
180  TOSHIBA   1399€  INTEL_CORE_I3   12GB      450GB               
181  LENOVO    1099€  INTEL_CORE_I7   12GB      300GB               
182  LENOVO    1299€  AMD_RYZEN_7     8GB       650GB               
183  LG        1499€  AMD_RYZEN_3     16GB      400GB               
184  LG        1199€  AMD_RYZEN_7     12GB      500GB               
185  INSYS     1299€  INTEL_CORE_I3   4GB       600GB               
186  LENOVO    449€   AMD_RYZEN_3     8GB       1000GB              
187  TOSHIBA   1399€  AMD_RYZEN_5     8GB       500GB               
188  MSI       399€   PENTIUM_G5400   12GB      2000GB              
189  LG        1099€  PENTIUM_G5400   4GB       500GB               
190  MSI       299€   AMD_RYZEN_5     8GB       1000GB              
191  LENOVO    1399€  INTEL_CORE_I3   16GB      500GB               
192  INSYS     599€   AMD_RYZEN_3     8GB       400GB               
193  LENOVO    749€   PENTIUM_G5400   16GB      2000GB              
194  LENOVO    949€   INTEL_CORE_I7   12GB      1500GB              
195  SAMSUNG   649€   AMD_RYZEN_5     8GB       1500GB              
196  INSYS     749€   INTEL_CORE_I3   12GB      1500GB              
197  TOSHIBA   799€   AMD_RYZEN_7     4GB       500GB               
198  LENOVO    949€   INTEL_CORE_I7   4GB       900GB               
199  ACER      1199€  INTEL_CORE_I5   8GB       950GB               
200  DELL      999€   AMD_RYZEN_5     12GB      1500GB              
201  SAMSUNG   1499€  INTEL_CORE_I7   12GB      1000GB              
202  TOSHIBA   449€   INTEL_CORE_I5   12GB      900GB               
203  TOSHIBA   1299€  INTEL_CORE_I9   12GB      550GB               
204  LENOVO    899€   INTEL_CORE_I7   12GB      950GB               
205  ACER      449€   INTEL_CORE_I7   16GB      800GB               
206  DELL      1199€  INTEL_CORE_I9   4GB       700GB               
207  DELL      899€   PENTIUM_G5400   8GB       650GB               
208  HP        749€   INTEL_CORE_I9   8GB       550GB               
209  LENOVO    1399€  AMD_RYZEN_3     12GB      800GB               
210  MSI       299€   PENTIUM_G5400   12GB      850GB               
211  ACER      899€   AMD_RYZEN_3     16GB      1500GB              
212  SAMSUNG   649€   INTEL_CORE_I3   12GB      650GB               
213  DELL      699€   INTEL_CORE_I7   4GB       900GB               
214  HP        1299€  AMD_RYZEN_3     12GB      900GB               
215  TOSHIBA   999€   INTEL_CORE_I7   12GB      300GB               
216  MICROSOFT 999€   AMD_RYZEN_3     12GB      800GB               
217  LG        599€   PENTIUM_G5400   8GB       700GB               
218  MSI       899€   AMD_RYZEN_7     4GB       550GB               
219  SAMSUNG   849€   AMD_RYZEN_5     16GB      850GB               
220  DELL      949€   INTEL_CORE_I3   12GB      950GB               
221  ASUS      749€   AMD_RYZEN_5     16GB      650GB               
222  MICROSOFT 299€   INTEL_CORE_I3   12GB      650GB               
223  HP        699€   AMD_RYZEN_5     16GB      900GB               
224  MICROSOFT 1199€  AMD_RYZEN_7     4GB       500GB               
225  MSI       1299€  INTEL_CORE_I3   12GB      450GB               
226  MICROSOFT 499€   INTEL_CORE_I5   8GB       600GB               
227  ACER      899€   AMD_RYZEN_5     8GB       850GB               
228  MICROSOFT 1399€  AMD_RYZEN_5     16GB      1000GB              
229  ASUS      699€   PENTIUM_G5400   12GB      600GB               
230  INSYS     499€   INTEL_CORE_I7   12GB      950GB               
231  LG        849€   INTEL_CORE_I3   12GB      900GB               
232  ASUS      449€   INTEL_CORE_I3   8GB       900GB               
233  LG        999€   PENTIUM_G5400   4GB       900GB               
234  ACER      1199€  AMD_RYZEN_5     8GB       300GB               
235  INSYS     449€   INTEL_CORE_I9   16GB      1500GB              
236  INSYS     799€   INTEL_CORE_I7   8GB       300GB               
237  HP        1199€  INTEL_CORE_I9   4GB       850GB               
238  DELL      1399€  INTEL_CORE_I3   16GB      2000GB              
239  TOSHIBA   999€   AMD_RYZEN_7     8GB       750GB               
240  ACER      349€   INTEL_CORE_I7   8GB       500GB               
241  MSI       899€   AMD_RYZEN_5     16GB      750GB               
242  DELL      349€   INTEL_CORE_I3   16GB      400GB               
243  SAMSUNG   949€   AMD_RYZEN_3     4GB       800GB               
244  MICROSOFT 849€   INTEL_CORE_I3   12GB      850GB               
245  SAMSUNG   449€   INTEL_CORE_I9   8GB       550GB               
246  MSI       299€   INTEL_CORE_I7   12GB      300GB               
247  LENOVO    449€   PENTIUM_G5400   4GB       900GB               
248  LENOVO    749€   AMD_RYZEN_7     4GB       500GB               
249  LG        1499€  INTEL_CORE_I3   16GB      450GB               
250  INSYS     999€   AMD_RYZEN_5     8GB       750GB               
251  SAMSUNG   1499€  AMD_RYZEN_3     4GB       650GB               
252  MICROSOFT 799€   PENTIUM_G5400   4GB       700GB               
253  ACER      699€   AMD_RYZEN_7     12GB      250GB               
254  LENOVO    499€   INTEL_CORE_I3   8GB       500GB               
255  ASUS      549€   INTEL_CORE_I5   12GB      950GB               
256  ASUS      1199€  AMD_RYZEN_5     12GB      500GB               
257  ASUS      749€   AMD_RYZEN_7     4GB       500GB               
258  TOSHIBA   449€   PENTIUM_G5400   16GB      300GB               
259  SAMSUNG   849€   AMD_RYZEN_5     12GB      750GB               
260  MICROSOFT 999€   INTEL_CORE_I3   8GB       250GB               
261  SAMSUNG   799€   AMD_RYZEN_3     12GB      600GB               
262  SAMSUNG   549€   AMD_RYZEN_5     16GB      850GB               
263  SAMSUNG   649€   PENTIUM_G5400   12GB      900GB               
264  MICROSOFT 349€   AMD_RYZEN_7     16GB      350GB               
265  DELL      549€   INTEL_CORE_I7   12GB      650GB               
266  TOSHIBA   1099€  INTEL_CORE_I5   4GB       850GB               
267  ACER      1399€  AMD_RYZEN_3     16GB      400GB               
268  MICROSOFT 1099€  INTEL_CORE_I3   4GB       600GB               
269  DELL      549€   AMD_RYZEN_3     12GB      900GB               
270  ACER      1399€  AMD_RYZEN_3     12GB      450GB               
271  HP        299€   INTEL_CORE_I7   4GB       750GB               
272  DELL      1199€  INTEL_CORE_I7   8GB       750GB               
273  LENOVO    1399€  PENTIUM_G5400   16GB      2000GB              
274  SAMSUNG   399€   AMD_RYZEN_7     8GB       700GB               
275  ACER      799€   INTEL_CORE_I5   16GB      700GB               
276  SAMSUNG   1199€  INTEL_CORE_I5   8GB       850GB               
277  LG        399€   PENTIUM_G5400   4GB       650GB               
278  MSI       749€   INTEL_CORE_I9   12GB      850GB               
279  LENOVO    1299€  PENTIUM_G5400   8GB       350GB               
280  LENOVO    299€   INTEL_CORE_I9   16GB      900GB               
281  MICROSOFT 549€   INTEL_CORE_I5   16GB      800GB               
282  HP        899€   AMD_RYZEN_5     8GB       700GB               
283  LG        1199€  INTEL_CORE_I3   4GB       700GB               
284  MSI       1299€  AMD_RYZEN_3     16GB      600GB               
285  ACER      649€   INTEL_CORE_I9   12GB      1000GB              
286  DELL      1199€  INTEL_CORE_I3   4GB       950GB               
287  TOSHIBA   499€   AMD_RYZEN_7     8GB       600GB               
288  ACER      349€   INTEL_CORE_I5   8GB       650GB               
289  LG        599€   AMD_RYZEN_3     16GB      900GB               
290  DELL      1399€  INTEL_CORE_I9   16GB      700GB               
291  LENOVO    599€   AMD_RYZEN_3     4GB       850GB               
292  INSYS     549€   AMD_RYZEN_5     12GB      850GB               
293  TOSHIBA   999€   PENTIUM_G5400   12GB      1500GB              
294  MICROSOFT 749€   INTEL_CORE_I5   16GB      400GB               
295  ACER      949€   INTEL_CORE_I5   16GB      400GB               
296  ASUS      499€   AMD_RYZEN_7     4GB       650GB               
297  MSI       999€   INTEL_CORE_I5   16GB      700GB               
298  MICROSOFT 399€   AMD_RYZEN_3     4GB       550GB               
299  MSI       349€   AMD_RYZEN_7     4GB       900GB               
300  MSI       299€   AMD_RYZEN_5     16GB      700GB               
301  LG        999€   AMD_RYZEN_5     8GB       350GB               
302  MSI       799€   INTEL_CORE_I5   4GB       800GB               
303  SAMSUNG   549€   INTEL_CORE_I3   12GB      1000GB              
304  MSI       649€   PENTIUM_G5400   4GB       1000GB              
305  MSI       1499€  AMD_RYZEN_7     12GB      600GB               
306  TOSHIBA   749€   INTEL_CORE_I9   12GB      700GB               
307  LG        849€   AMD_RYZEN_3     12GB      500GB               
308  MSI       1299€  AMD_RYZEN_7     8GB       750GB               
309  ACER      749€   PENTIUM_G5400   12GB      250GB               
310  SAMSUNG   799€   INTEL_CORE_I9   16GB      600GB               
311  LENOVO    599€   AMD_RYZEN_3     12GB      900GB               
312  ACER      799€   INTEL_CORE_I3   4GB       300GB               
313  TOSHIBA   649€   INTEL_CORE_I3   12GB      600GB               
314  ASUS      949€   AMD_RYZEN_5     4GB       400GB               
315  ACER      1099€  INTEL_CORE_I7   12GB      450GB               
316  ACER      999€   AMD_RYZEN_7     16GB      300GB               
317  SAMSUNG   949€   AMD_RYZEN_3     4GB       950GB               
318  ACER      749€   INTEL_CORE_I9   12GB      850GB               
319  DELL      799€   INTEL_CORE_I3   4GB       750GB               
320  LG        599€   AMD_RYZEN_3     4GB       350GB               
321  MICROSOFT 999€   AMD_RYZEN_5     8GB       750GB               
322  DELL      699€   AMD_RYZEN_5     12GB      450GB               
323  TOSHIBA   1399€  PENTIUM_G5400   16GB      950GB               
324  TOSHIBA   899€   AMD_RYZEN_5     12GB      650GB               
325  LG        399€   PENTIUM_G5400   4GB       700GB               
326  LENOVO    949€   AMD_RYZEN_5     4GB       850GB               
327  ASUS      849€   INTEL_CORE_I5   4GB       800GB               
328  ACER      749€   AMD_RYZEN_7     12GB      800GB               
329  MICROSOFT 999€   AMD_RYZEN_7     4GB       2000GB              
330  ASUS      949€   INTEL_CORE_I9   16GB      800GB               
331  DELL      299€   INTEL_CORE_I7   16GB      500GB               
332  MSI       949€   AMD_RYZEN_5     12GB      700GB               
333  MICROSOFT 399€   INTEL_CORE_I9   8GB       800GB               
334  SAMSUNG   349€   AMD_RYZEN_3     12GB      350GB               
335  SAMSUNG   1399€  AMD_RYZEN_3     4GB       400GB               
336  MSI       699€   INTEL_CORE_I7   12GB      1000GB              
337  MICROSOFT 1399€  INTEL_CORE_I7   12GB      450GB               
338  DELL      799€   INTEL_CORE_I3   16GB      550GB               
339  LG        649€   INTEL_CORE_I5   16GB      300GB               
340  LENOVO    1199€  INTEL_CORE_I9   16GB      850GB               
341  MICROSOFT 1399€  AMD_RYZEN_5     16GB      400GB               
342  HP        599€   INTEL_CORE_I5   4GB       500GB               
343  SAMSUNG   499€   INTEL_CORE_I3   8GB       1000GB              
344  INSYS     999€   INTEL_CORE_I7   8GB       700GB               
345  DELL      1399€  INTEL_CORE_I5   8GB       650GB               
346  SAMSUNG   1499€  AMD_RYZEN_5     8GB       950GB               
347  TOSHIBA   899€   AMD_RYZEN_7     8GB       250GB               
348  HP        999€   INTEL_CORE_I5   8GB       550GB               
349  INSYS     549€   INTEL_CORE_I9   4GB       500GB               
350  ASUS      399€   INTEL_CORE_I9   8GB       1000GB              
351  HP        299€   INTEL_CORE_I3   8GB       400GB               
352  MSI       749€   INTEL_CORE_I7   4GB       850GB               
353  MSI       949€   INTEL_CORE_I7   16GB      1000GB              
354  ACER      449€   INTEL_CORE_I5   16GB      400GB               
355  INSYS     1199€  INTEL_CORE_I5   16GB      1000GB              
356  ASUS      999€   INTEL_CORE_I9   12GB      850GB               
357  LG        799€   AMD_RYZEN_3     4GB       1500GB              
358  LG        349€   AMD_RYZEN_5     8GB       700GB               
359  DELL      349€   AMD_RYZEN_3     4GB       1000GB              
360  MICROSOFT 549€   INTEL_CORE_I7   12GB      950GB               
361  ASUS      649€   INTEL_CORE_I3   16GB      1000GB              
362  ASUS      399€   INTEL_CORE_I7   12GB      600GB               
363  ASUS      399€   INTEL_CORE_I3   12GB      500GB               
364  MSI       1199€  INTEL_CORE_I9   4GB       800GB               
365  SAMSUNG   499€   AMD_RYZEN_7     8GB       1000GB              
366  ACER      599€   INTEL_CORE_I7   12GB      600GB               
367  MICROSOFT 599€   PENTIUM_G5400   4GB       1500GB              
368  MSI       799€   AMD_RYZEN_5     8GB       2000GB              
369  LG        1399€  INTEL_CORE_I9   12GB      450GB               
370  ACER      1099€  INTEL_CORE_I5   4GB       850GB               
371  DELL      599€   AMD_RYZEN_3     12GB      300GB               
372  HP        1199€  AMD_RYZEN_7     8GB       750GB               
373  INSYS     1499€  INTEL_CORE_I3   4GB       2000GB              
374  HP        999€   INTEL_CORE_I5   4GB       750GB               
375  MICROSOFT 349€   INTEL_CORE_I7   4GB       900GB               
376  DELL      749€   AMD_RYZEN_7     12GB      300GB               
377  MICROSOFT 1499€  INTEL_CORE_I9   8GB       1000GB              
378  LG        1499€  INTEL_CORE_I5   8GB       800GB               
379  DELL      299€   PENTIUM_G5400   12GB      250GB               
380  LG        1099€  INTEL_CORE_I3   8GB       700GB               
381  TOSHIBA   899€   AMD_RYZEN_7     4GB       550GB               
382  ACER      1199€  INTEL_CORE_I9   8GB       950GB               
383  MICROSOFT 349€   PENTIUM_G5400   16GB      600GB               
384  MICROSOFT 1299€  AMD_RYZEN_3     12GB      2000GB              
385  INSYS     699€   AMD_RYZEN_5     8GB       700GB               
386  SAMSUNG   599€   AMD_RYZEN_3     16GB      400GB               
387  DELL      1099€  INTEL_CORE_I9   4GB       900GB               
388  DELL      1499€  PENTIUM_G5400   16GB      400GB               
389  SAMSUNG   1499€  INTEL_CORE_I5   8GB       900GB               
390  HP        1499€  INTEL_CORE_I5   12GB      550GB               
391  INSYS     1399€  INTEL_CORE_I9   16GB      500GB               
392  LG        699€   INTEL_CORE_I7   16GB      500GB               
393  ACER      599€   PENTIUM_G5400   4GB       500GB               
394  LG        349€   AMD_RYZEN_3     8GB       800GB               
395  LENOVO    749€   INTEL_CORE_I5   16GB      250GB               
396  TOSHIBA   749€   AMD_RYZEN_7     16GB      1500GB              
397  ACER      899€   AMD_RYZEN_5     16GB      900GB               
398  ACER      599€   INTEL_CORE_I9   8GB       950GB               
399  SAMSUNG   999€   AMD_RYZEN_3     16GB      550GB               
400  MICROSOFT 699€   INTEL_CORE_I3   4GB       700GB               
401  MSI       549€   AMD_RYZEN_3     16GB      750GB               
402  TOSHIBA   599€   AMD_RYZEN_7     8GB       1500GB              
403  LENOVO    649€   INTEL_CORE_I9   4GB       600GB               
404  SAMSUNG   799€   INTEL_CORE_I9   4GB       750GB               
405  LG        1099€  AMD_RYZEN_7     16GB      500GB               
406  DELL      549€   INTEL_CORE_I7   16GB      600GB               
407  INSYS     449€   INTEL_CORE_I5   16GB      900GB               
408  ACER      949€   AMD_RYZEN_7     8GB       250GB               
409  ACER      599€   INTEL_CORE_I9   4GB       750GB               
410  INSYS     749€   INTEL_CORE_I5   8GB       800GB               
411  ACER      549€   PENTIUM_G5400   12GB      250GB               
412  SAMSUNG   899€   AMD_RYZEN_7     16GB      900GB               
413  ACER      349€   PENTIUM_G5400   8GB       850GB               
414  ACER      1299€  AMD_RYZEN_7     8GB       450GB               
415  INSYS     599€   INTEL_CORE_I9   16GB      300GB               
416  INSYS     799€   PENTIUM_G5400   12GB      400GB               
417  MSI       649€   AMD_RYZEN_5     12GB      750GB               
418  MSI       899€   PENTIUM_G5400   12GB      550GB               
419  LENOVO    749€   INTEL_CORE_I3   12GB      550GB               
420  MSI       1399€  AMD_RYZEN_5     4GB       1500GB              
421  MSI       749€   INTEL_CORE_I3   12GB      800GB               
422  TOSHIBA   599€   INTEL_CORE_I5   12GB      950GB               
423  LENOVO    899€   AMD_RYZEN_5     16GB      600GB               
424  DELL      399€   AMD_RYZEN_5     16GB      2000GB              
425  ACER      449€   AMD_RYZEN_3     12GB      850GB               
426  ASUS      1399€  AMD_RYZEN_3     12GB      600GB               
427  MICROSOFT 299€   PENTIUM_G5400   8GB       600GB               
428  MSI       949€   INTEL_CORE_I9   16GB      450GB               
429  MICROSOFT 649€   INTEL_CORE_I3   12GB      500GB               
430  HP        349€   INTEL_CORE_I3   4GB       850GB               
431  MICROSOFT 399€   INTEL_CORE_I9   8GB       550GB               
432  LENOVO    1399€  INTEL_CORE_I7   4GB       1000GB              
433  MICROSOFT 949€   INTEL_CORE_I9   12GB      400GB               
434  ACER      449€   AMD_RYZEN_5     12GB      800GB               
435  DELL      399€   PENTIUM_G5400   8GB       500GB               
436  LENOVO    1399€  INTEL_CORE_I7   4GB       250GB               
437  ACER      399€   INTEL_CORE_I7   8GB       550GB               
438  HP        1299€  AMD_RYZEN_5     16GB      900GB               
439  ASUS      849€   INTEL_CORE_I9   16GB      700GB               
440  INSYS     949€   INTEL_CORE_I7   12GB      1000GB              
